accelX, accelY, accelZ, magX, magY, magZ, gyroX, gyroY, gyroZ, packetNum
-17665, 9728, 3585, -24832, 2559, 11262, 1792, -20719, -12783, -22307
-17665, 9728, 3585, -25600, 2559, 11262, 1536, -20207, -13295, -22051
-17409, 9216, 4097, -25600, 2047, 11518, 1024, -19951, -13551, -21795
-17409, 9216, 4097, -26112, 2047, 11518, 1024, -19439, -13807, -21539
-17409, 9216, 4097, -26112, 2559, 11262, 768, -19183, -13807, -21283
-15617, 9728, 5377, -26112, 2559, 11006, 256, -18415, -14063, -20771
-15617, 9728, 5377, -26624, 2559, 11006, 512, -17903, -14063, -20515
-13569, 10752, 4353, -26624, 2047, 11262, 256, -17391, -14063, -20259
-13569, 10752, 4353, -27136, 2047, 11262, 256, -16623, -14063, -20003
-13569, 10752, 4353, -27136, 2815, 10750, 256, -16111, -14063, -19747
-12545, 8960, 4353, -26880, 2815, 10750, 256, -15343, -14063, -19491
-12545, 8960, 4353, -26880, 2303, 11006, 256, -14319, -14063, -19235
-12545, 8960, 4353, -27136, 2303, 11006, 0, -13807, -13807, -18979
-12289, 7424, 4609, -27136, 2303, 10750, 0, -12783, -13807, -18723
-12289, 7424, 4609, -27136, 2303, 10750, 256, 0, -13807, -18467
-12289, 7424, 4609, -27136, 2815, 11006, 0, 512, -13807, -18211
-11009, 4864, 5121, -27392, 2815, 11006, 0, 1024, -13807, -17955
-11009, 4864, 5121, -27392, 2047, 11262, 0, 1280, -13551, -17699
-11009, 4864, 5121, -27392, 2047, 11262, -12783, 1280, -13551, -17443
-11009, 4352, 4609, -27392, 2815, 11006, -13039, 1280, -13295, -17187
-11009, 4352, 4609, -27392, 2815, 11006, -13039, 1536, -13039, -16931
-11009, 4352, 4609, -27392, 2559, 11262, -13295, 1024, -12783, -16675
-11777, 3072, 3841, -27136, 2559, 11262, -13807, 512, -12783, -16419
-11777, 3072, 3841, -27136, 2303, 11262, -13807, 256, 0, -16163
-11777, 3072, 3841, -26880, 2303, 11262, -14063, 0, 256, -15907
-12801, 2304, 1793, -26880, 2559, 11006, -14063, -13039, 256, -15651
-12801, 2304, 1793, -26880, 2559, 11006, -14063, -13295, 512, -15395
-12801, 2304, 1793, -26880, 2303, 11262, -14063, -13807, 512, -15139
-13057, 1536, 257, -26880, 2303, 11262, -14063, -14063, 768, -14883
-13057, 1536, 257, -26880, 3071, 10750, -13807, -14575, 768, -14627
-13057, 1536, 257, -26880, 3071, 10750, -13807, -14831, 768, -14371
-13569, 1024, -256, -26880, 2559, 11006, -13551, -15343, 768, -14115
-13569, 1024, -256, -27136, 2559, 11006, -13295, -15599, 1024, -13859
-13569, 1024, -256, -27136, 2559, 11006, -12783, -15599, 768, -13603
-12801, -1, 1, -26880, 2559, 11006, 0, -15599, 768, -13347
-12801, -1, 1, -26880, 3071, 10750, 256, -15855, 512, -13091
-11777, -2049, 1, -27392, 2303, 11006, 1024, -15599, 768, -12579
-11777, -2049, 1, -27648, 2303, 11006, 1536, -15599, 512, -12323
-11777, -2049, 1, -27648, 3071, 10494, 1792, -15599, 512, -12067
-11009, -2561, 769, -27136, 3071, 10494, 2048, -15599, 512, -11811
-11009, -2561, 769, -27136, 2815, 11262, 2304, -15343, 256, -11555
-11009, -2561, 769, -27904, 2815, 11262, 2304, -15343, 512, -11299
-10497, -3073, 2561, -27904, 2047, 10750, 2304, -15087, 512, -11043
